"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
206,2,11706.07941,2530.61705,86.73533,2071.49877,155.62361,41.78419,10.502
207,2,11840.89904,11733.30106,128.91462,5906.65311,122.07207,36.24062,6.95589
208,2,12221.19038,7504.19167,89.88709,6275.56519,198.02872,42.38922,3.94816
209,2,12460.87811,3192.72445,105.73795,2510.58966,149.05256,34.12525,10.36554
210,2,12475.74545,6961.97452,105.94403,4231.54774,142.6646,31.07302,5.82481
211,2,12639.72658,12591.08483,106.65912,4041.36729,162.19014,39.01952,7.54296
212,2,12869.28173,10293.21841,101.21304,3396.9562,156.74121,31.31907,6.64096
213,2,12968.02169,3296.50457,115.44249,3274.15296,147.62058,44.37026,12.07174
214,2,12950.24495,11907.79498,164.14298,4037.78039,124.46341,36.55601,15.95465
215,2,12989.08282,2171.53444,99.04616,3326.47875,149.25019,35.48829,7.2841
216,2,13006.89129,8859.10005,107.365,2847.36186,147.40598,39.49882,10.82106
217,2,13127.02126,14492.78627,106.91032,3164.62914,142.48846,29.60903,7.45352
218,2,13199.38669,18750.29394,169.85692,3175.00322,95.00338,28.20766,16.83233
219,2,13211.91228,11556.60611,89.94901,2564.89356,179.76776,28.58249,6.4736
220,2,13340.4468,17635.86801,116.4698,2791.50641,112.25697,27.89641,9.29858
221,2,13491.69645,7195.86324,115.99576,4843.88555,134.7364,39.51579,7.48417
222,2,13638.63123,18803.59261,106.74525,1628.83517,136.15317,33.08891,15.58806
223,2,13838.73838,20065.29882,82.21436,1380.13207,116.64406,28.38567,9.86188
224,2,13915.58071,9352.90316,100.02341,3823.64294,177.69263,38.42616,6.97779
225,2,14189.89393,11349.26629,247.47475,8416.69513,105.88581,30.87361,14.63187
226,2,14077.92917,14127.22914,120.21464,4514.91883,137.62036,33.14837,7.28839
227,2,14141.46173,12639.50611,135.29714,12874.08115,200.06553,68.80478,6.50284
228,2,14145.08627,18839.72951,127.29684,3235.69201,128.87127,35.76354,11.96511
229,2,14196.4741,5540.03869,105.87082,3075.3955,142.72672,34.33489,8.59826
230,2,14296.64897,7538.07027,148.77319,10834.60053,148.30685,59.9433,8.08117
231,2,14399.03001,7757.3563,149.65326,5309.20427,187.45899,59.38538,16.2991
232,2,14453.6484,11383.45126,94.15808,1707.86151,196.73871,38.37775,13.58363
233,2,14567.60409,9518.4903,98.72298,3671.38672,186.15181,42.5456,7.77546
234,2,14598.92569,10467.76719,105.25675,3667.75988,171.4954,37.18528,7.73126
235,2,14589.21322,14238.56514,111.88311,5130.35217,148.25116,45.241,7.50435
236,2,14898.69227,17121.32198,110.00014,2423.88511,129.73363,32.32912,10.96863
