"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
168,2,3668.48109,19428.3331,124.70787,1007.49664,102.29263,14.83671,15.72311
169,2,4588.98867,16267.3119,94.00998,684.90419,113.28358,22.91999,20.23358
170,2,4918.80117,15409.60618,82.76026,1080.43006,110.44591,22.80178,10.3358
171,2,5451.9465,17744.17853,132.73019,1362.79711,99.41616,17.74331,15.54891
172,2,5602.28873,3707.64769,113.69443,1912.82958,111.8987,22.59512,10.54102
173,2,5920.0136,7160.36631,98.49926,3263.18471,127.09528,25.02746,5.42438
174,2,5971.9788,9146.08353,108.61534,4041.79068,109.74718,32.54007,6.62031
175,2,6074.70978,3325.09491,87.65712,1198.98974,126.97629,27.09235,12.12283
176,2,6512.89891,19584.58789,94.84976,1106.39833,117.41399,19.03525,10.95607
177,2,6594.20068,11066.5717,104.13333,1578.29868,113.73415,23.15831,11.02637
178,2,7172.47039,4567.28666,111.28273,2909.06765,120.69064,20.49387,6.31699
179,2,7354.62009,19470.86654,137.00491,2912.1002,116.44652,32.66656,13.97741
180,2,7518.85932,12594.44475,97.78786,2361.82299,121.92624,27.61173,7.86711
181,2,7535.53762,19512.23249,123.96827,2785.07458,141.14429,42.16402,15.40398
182,2,7884.93882,4324.86207,82.78024,2609.23856,136.94221,40.86037,7.57066
183,2,7852.65427,10915.36105,95.36476,1453.52106,132.41813,24.28095,10.61791
184,2,7948.63184,19322.0613,111.71864,2901.49141,133.26152,33.11072,9.7054
185,2,8252.23434,11532.17244,166.56788,1583.79696,109.51339,21.27374,24.43058
186,2,8379.0543,1227.48332,95.71183,536.29142,110.66775,13.55951,16.31907
187,2,8552.05685,14820.89159,60.32979,676.70494,122.77596,20.04794,8.38688
188,2,8850.78806,10774.24171,96.5935,4861.6211,140.0677,46.32873,6.17404
189,2,9039.87758,4873.66298,93.28307,1772.23492,128.39297,32.49102,11.01742
190,2,9620.47098,1318.17598,117.54767,2397.25029,111.73705,28.09196,11.0076
191,2,9628.17707,6021.91205,92.88772,3407.14331,143.27017,31.94856,5.78693
192,2,9604.72308,13480.48982,82.72312,615.75803,111.03941,18.17537,14.36511
193,2,9619.8481,18049.75134,105.13835,3246.46932,125.52171,29.05709,6.94491
